genres,Artist number
adult-standards,3
american-folk-revival,1
lounge,2
album-rock,1
art-rock,2
beatlesque,1
classic-rock,1
folk-rock,1
mellow-gold,2
rock,8
soft-rock,1
dance-pop,120
urban-contemporary,20
pop,182
glam-rock,1
piano-rock,5
r&b,32
soul,1
neo-soul,6
uk-pop,14
emo,1
modern-rock,17
contemporary-country,53
country,47
country-road,40
modern-country-rock,13
neo-mellow,14
post-teen-pop,48
gangster-rap,17
hip-hop,51
pop-rap,81
rap,99
southern-hip-hop,45
trap,73
orchestral-soundtrack,1
soundtrack,1
art-pop,6
baroque-pop,2
new-wave-pop,1
permanent-wave,2
singer-songwriter,1
oklahoma-country,4
hip-pop,11
atl-hip-hop,22
dirty-south-rap,8
latin-hip-hop,6
reggaeton,11
urbano-latino,9
g-funk,1
west-coast-rap,2
contemporary-r&b,2
south-carolina-hip-hop,1
bronx-hip-hop,2
east-coast-hip-hop,2
hardcore-hip-hop,1
colombian-pop,2
latin-pop,4
mexican-pop,1
electro,2
filter-house,1
detroit-hip-hop,3
new-orleans-rap,1
australian-country,1
australian-pop,6
alternative-r&b,2
trap-queen,7
crunk,1
old-school-atlanta-hip-hop,2
pop-r&b,5
hollywood,5
show-tunes,2
puerto-rican-pop,2
virginia-hip-hop,2
conscious-hip-hop,3
underground-hip-hop,6
k-pop,2
k-rap,1
korean-old-school-hip-hop,1
pop-soul,3
complextro,2
edm,29
electro-house,9
electropop,27
german-techno,1
pop-dance,21
tropical-house,19
alternative-metal,1
nu-metal,1
post-grunge,1
rap-metal,1
miami-hip-hop,8
rhode-island-rap,1
viral-rap,25
chicago-rap,6
black-americana,3
ohio-hip-hop,1
st-louis-rap,1
australian-dance,3
alternative-hip-hop,1
house,6
dmv-rap,1
acoustic-pop,2
pop-rock,24
memphis-hip-hop,5
tennessee-hip-hop,4
country-dawn,4
heartland-rock,1
texas-country,3
talent-show,7
big-room,1
francoton,1
moombahton,2
atl-trap,5
houston-rap,3
cali-rap,5
lilith,1
afro-dancehall,1
afropop,1
azonto,1
nigerian-hip-hop,1
nigerian-pop,1
melodic-rap,24
candy-pop,3
pixie,1
pop-emo,1
pop-punk,1
barbadian-pop,1
progressive-house,2
uk-dance,5
pittsburgh-rap,1
boy-band,4
philly-rap,3
modern-alternative-rock,8
modern-blues-rock,2
south-african-rock,1
dutch-hip-hop,1
indietronica,3
outlaw-country,1
folk-pop,6
comic,1
canadian-pop,9
brostep,2
canadian-hip-hop,2
toronto-rap,2
cumbia,1
latin-alternative,1
latin-rock,1
pop-electronico,1
tropical-alternativo,1
celtic-rock,1
british-soul,1
country-pop,5
queens-hip-hop,1
baton-rouge-rap,3
metropopolis,10
electronica,1
indie-soul,1
uk-alternative-pop,1
reggaeton-flow,4
progressive-electro-house,2
nyc-rap,3
plugg,2
pluggnb,2
trap-soul,1
modern-folk-rock,1
stomp-and-holler,3
uk-americana,1
swedish-electropop,3
swedish-synthpop,2
reggaeton-colombiano,2
k-pop-boy-group,1
seattle-hip-hop,1
alt-z,8
indie-poptimism,6
viral-pop,6
uk-contemporary-r&b,4
social-media-pop,2
indie-pop-rap,1
oakland-hip-hop,1
la-indie,1
stomp-pop,2
canadian-trap,1
australian-talent-show,1
canadian-contemporary-r&b,5
deep-groove-house,1
disco-house,1
latin-viral-pop,2
rap-latina,1
shimmer-pop,1
australian-electropop,1
australian-indie,1
downtempo,1
gauze-pop,1
shiver-pop,1
uk-funky,1
dutch-edm,1
vapor-trap,7
cartoon,1
"""childrens-music""",1
dong-yo,1
ccm,1
christian-music,1
worship,1
dance-rock,1
australian-hip-hop,3
bass-trap,1
electronic-trap,2
vapor-twitch,1
chicago-drill,1
drill,1
danish-pop,1
scandipop,3
slap-house,2
mississippi-hip-hop,1
modern-uplift,1
neo-singer-songwriter,1
london-rap,1
modern-salsa,1
salsa-colombiana,1
kentucky-hip-hop,2
girl-group,1
irish-singer-songwriter,1
nz-pop,3
swedish-pop,2
arkansas-hip-hop,1
florida-drill,2
florida-rap,3
trap-latino,7
new-jersey-rap,1
etherpop,1
lgbtq+-hip-hop,2
chicago-bop,2
escape-room,1
minnesota-hip-hop,1
deep-underground-hip-hop,1
pinoy-hip-hop,1
comedy-rap,1
afrofuturism,1
dfw-rap,1
pop-edm,1
emo-rap,3
alabama-rap,2
north-carolina-hip-hop,1
portland-hip-hop,1
afro-r&b,1
christian-hip-hop,1
christian-trap,1
viral-trap,2
scam-rap,1
indie-rock-italiano,1
italian-pop,1
bedroom-soul,1
detroit-trap,1
transpop,1
bedroom-pop,1
indie-pop,1
gen-z-singer-songwriter,2
dutch-pop,1
brooklyn-drill,2
gambian-hip-hop,1
rap-conscient,1
new-jersey-underground-rap,1
lo-fi-chill,1
sad-lo-fi,1
sad-rap,1
country-rap,1
indie-r&b,1
modern-alternative-pop,2
new-york-drill,1
